"","response_uuid","Age","Trial","Usable frames (%)","person_good"
"168","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","9",0.861842105263158,0.0305343511450382
"169","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","10",0.972677595628415,0.264044943820225
"170","2f9f948f-d9da-40f2-b5b1-247207217245","12","1",0.98,0.952380952380952
"171","2f9f948f-d9da-40f2-b5b1-247207217245","12","2",0.946666666666667,0.654929577464789
"172","2f9f948f-d9da-40f2-b5b1-247207217245","12","4",0.94,0.75886524822695
"173","2f9f948f-d9da-40f2-b5b1-247207217245","12","6",0.900662251655629,0.779411764705882
"174","2f9f948f-d9da-40f2-b5b1-247207217245","12","7",0.993377483443709,0.753333333333333
"175","2f9f948f-d9da-40f2-b5b1-247207217245","12","8",0.89261744966443,0.511278195488722
"176","2f9f948f-d9da-40f2-b5b1-247207217245","12","9",0.75,0.798245614035088
"177","2f9f948f-d9da-40f2-b5b1-247207217245","12","10",0.939890710382514,0.883720930232558
"178","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","2",0.973333333333333,0.219178082191781
"179","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","3",0.979865771812081,0.520547945205479
"180","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","4",0.973333333333333,0.767123287671233
"181","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","5",0.894736842105263,0.904411764705882
"182","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","6",0.788079470198676,0.151260504201681
"183","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","8",0.993288590604027,0.716216216216216
"184","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","9",0.967105263157895,0.73469387755102
"185","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","10",0.939890710382514,0.947674418604651
"186","3253da16-238b-4f45-8610-dff84aa897d4","6","1",0.933333333333333,0.95
"187","3253da16-238b-4f45-8610-dff84aa897d4","6","2",0.66,0.0202020202020202
"188","3253da16-238b-4f45-8610-dff84aa897d4","6","3",0.979865771812081,0.938356164383562
"189","3253da16-238b-4f45-8610-dff84aa897d4","6","4",0.833333333333333,0.624
"190","3253da16-238b-4f45-8610-dff84aa897d4","6","5",0.881578947368421,0.783582089552239
"191","3253da16-238b-4f45-8610-dff84aa897d4","6","7",0.384105960264901,0.620689655172414
"192","3253da16-238b-4f45-8610-dff84aa897d4","6","8",0.838926174496644,0.936
"193","3253da16-238b-4f45-8610-dff84aa897d4","6","10",0.644808743169399,0.85593220338983
"194","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","2",0.873333333333333,0.595419847328244
"195","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","3",0.758389261744966,0.893805309734513
"196","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","4",0.973333333333333,0.623287671232877
"197","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","5",0.947368421052632,0.875
"198","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","6",0.801324503311258,0.520661157024793
"199","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","7",0.768211920529801,0.887931034482759
"200","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","8",0.89261744966443,0.56390977443609
"201","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","9",0.480263157894737,0.986301369863014
"202","32a3fdb2-05a7-4f95-9252-306bb9ee470f","6","10",0.890710382513661,0.883435582822086
"203","33f4dfee-b330-49b3-a70d-c5497436bfe9","12","5",0.776315789473684,0.0169491525423729
"204","33f4dfee-b330-49b3-a70d-c5497436bfe9","12","6",0.860927152317881,0.269230769230769
