"response_uuid","Age","Trial","target_prop","Stimulus type"
"500df8d0-a283-43bd-b60b-dd291f0484b0","12","1",0.588,"Small Constant"
"b3281ac1-0414-4b63-884a-00770a2c0498","6","3",0.852,"Small Constant"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","1",0.605,"Small Constant"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","2",0.629,"Small Constant"
"b3281ac1-0414-4b63-884a-00770a2c0498","6","4",0.55,"Small Constant"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","3",0.76,"Small Constant"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","1",0.785,"Small Constant"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","3",0.533,"Small Constant"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","2",0.662,"Small Constant"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","2",0.784,"Small Constant"
