"","response_uuid","Age","Trial","Usable frames (%)","synch_good"
"132","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","5",0.403990024937656,0.746913580246914
"133","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","6",0.478802992518703,0.161458333333333
"134","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","1",0.695760598503741,0.494623655913978
"135","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","2",0.42643391521197,0.859649122807018
"136","542a740b-12ca-43b1-96a0-6b2c2142d327","6","1",0.743142144638404,0.822147651006711
"137","542a740b-12ca-43b1-96a0-6b2c2142d327","6","3",0.5225,0.339712918660287
"138","542a740b-12ca-43b1-96a0-6b2c2142d327","6","4",0.512437810945274,0.742718446601942
"139","542a740b-12ca-43b1-96a0-6b2c2142d327","6","5",0.471321695760599,0.26984126984127
"140","542a740b-12ca-43b1-96a0-6b2c2142d327","6","6",0.665835411471322,0.674157303370786
"141","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","1",0.745635910224439,0.575250836120401
"142","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","2",0.698254364089776,0.567857142857143
"143","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","4",0.564676616915423,0.348017621145374
"144","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","5",0.618453865336658,0.899193548387097
"145","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","6",0.456359102244389,0.360655737704918
"146","5864ecf2-7993-4712-9177-f4feeab105ea","12","1",0.907730673316708,0.434065934065934
"147","5864ecf2-7993-4712-9177-f4feeab105ea","12","2",0.341645885286783,0.569343065693431
"148","5a7ea095-c369-46ce-9b7e-5538504dce52","6","1",0.456359102244389,0.224043715846995
"149","5a7ea095-c369-46ce-9b7e-5538504dce52","6","2",0.408977556109726,0.707317073170732
"150","5a7ea095-c369-46ce-9b7e-5538504dce52","6","3",0.33,0.212121212121212
"151","5a7ea095-c369-46ce-9b7e-5538504dce52","6","4",0.537313432835821,0.967592592592593
"152","5a7ea095-c369-46ce-9b7e-5538504dce52","6","5",0.8428927680798,0.375739644970414
"153","5a7ea095-c369-46ce-9b7e-5538504dce52","6","6",0.379052369077307,0.585526315789474
"154","5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","1",0.820448877805486,0.285714285714286
"155","5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","2",0.663341645885287,0.139097744360902
"156","5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","3",0.775,0.470967741935484
"157","5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","4",0.748756218905473,0.209302325581395
"158","5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","5",0.620947630922693,0.0923694779116466
"159","623e1a76-c6b1-4069-a73e-d24df01bc069","12","1",0.556109725685786,0.143497757847534
"160","623e1a76-c6b1-4069-a73e-d24df01bc069","12","6",0.591022443890274,0.805907172995781
"161","6cc17b70-29de-481b-8672-f70a2428e0f9","6","1",0.733167082294264,0.738095238095238
"162","6cc17b70-29de-481b-8672-f70a2428e0f9","6","2",0.760598503740648,0.167213114754098
"163","6cc17b70-29de-481b-8672-f70a2428e0f9","6","3",0.63,0.571428571428571
"164","6cc17b70-29de-481b-8672-f70a2428e0f9","6","4",0.733830845771144,0.583050847457627
"165","6cc17b70-29de-481b-8672-f70a2428e0f9","6","5",0.506234413965087,0.763546798029557
"166","6cc17b70-29de-481b-8672-f70a2428e0f9","6","6",0.356608478802993,0.181818181818182
"167","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","1",0.418952618453865,0.625
"168","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","2",0.523690773067332,0.257142857142857
"169","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","3",0.71,0.380281690140845
"170","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","4",0.522388059701492,0.666666666666667
"171","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","6",0.369077306733167,0.364864864864865
"172","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","1",0.817955112219451,0.701219512195122
"173","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","2",0.783042394014963,0.312101910828025
"174","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","3",0.5825,0.725321888412017
"175","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","4",0.95771144278607,0.58961038961039
"176","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","5",0.778054862842893,0.503205128205128
"177","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","6",0.645885286783042,0.432432432432432
"178","87596fb5-e33a-4991-961b-e3f5a3ea080f","6","1",0.920199501246883,0.775067750677507
"179","87596fb5-e33a-4991-961b-e3f5a3ea080f","6","2",0.882793017456359,0.64406779661017
"180","87596fb5-e33a-4991-961b-e3f5a3ea080f","6","3",0.72,0.482638888888889
"181","87596fb5-e33a-4991-961b-e3f5a3ea080f","6","4",0.579601990049751,0.802575107296137
"182","87596fb5-e33a-4991-961b-e3f5a3ea080f","6","5",0.790523690773067,0.277602523659306
"183","87596fb5-e33a-4991-961b-e3f5a3ea080f","6","6",0.877805486284289,0.636363636363636
"184","8a362df5-0bae-43b3-a757-fd160cf111aa","6","1",0.957605985037406,0.372395833333333
"185","8a362df5-0bae-43b3-a757-fd160cf111aa","6","2",0.394014962593516,0.727848101265823
"186","8a362df5-0bae-43b3-a757-fd160cf111aa","6","3",0.9625,0.566233766233766
"187","8a362df5-0bae-43b3-a757-fd160cf111aa","6","4",0.741293532338308,0.278523489932886
"188","8a362df5-0bae-43b3-a757-fd160cf111aa","6","5",0.920199501246883,0.422764227642276
"189","8a362df5-0bae-43b3-a757-fd160cf111aa","6","6",0.86783042394015,0.359195402298851
"190","948f9377-b3b7-4910-87d6-b64eeee52434","6","1",0.57356608478803,0.430434782608696
"191","948f9377-b3b7-4910-87d6-b64eeee52434","6","3",0.4025,0.571428571428571
"192","96525cba-df8a-4248-90f6-220441592b0e","12","1",0.832917705735661,0.458083832335329
"193","96525cba-df8a-4248-90f6-220441592b0e","12","2",0.760598503740648,0.308196721311475
"194","96525cba-df8a-4248-90f6-220441592b0e","12","3",0.59,0.669491525423729
"195","96525cba-df8a-4248-90f6-220441592b0e","12","5",0.750623441396509,0.481727574750831
"196","9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","1",0.461346633416459,0.508108108108108
"197","9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","2",0.356608478802993,0.454545454545455
"198","9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","3",0.42,0.696428571428571
"199","9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","4",0.353233830845771,0.380281690140845
"200","9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","5",0.391521197007481,0.643312101910828
"201","9fd3fdc0-0d1d-4684-8567-479616056287","6","1",0.755610972568579,0.244224422442244
"202","9fd3fdc0-0d1d-4684-8567-479616056287","6","2",0.630922693266833,0.517786561264822
"203","9fd3fdc0-0d1d-4684-8567-479616056287","6","3",0.4575,0.327868852459016
"204","9fd3fdc0-0d1d-4684-8567-479616056287","6","6",0.650872817955112,0.0459770114942529
"205","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","1",0.610972568578554,0.551020408163265
"206","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","2",0.633416458852868,0.55511811023622
"207","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","3",0.7375,0.508474576271186
"208","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","6",0.86284289276808,0.985549132947977
"209","a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","1",0.735660847880299,0.684745762711864
"210","a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","2",0.58354114713217,0.52991452991453
"211","a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","3",0.58,0.508620689655172
"212","a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","4",0.850746268656716,0.526315789473684
"213","a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","5",0.798004987531172,0.690625
"214","a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","6",0.668329177057357,0.388059701492537
"215","a41efa95-31e9-4d20-ac63-5662316bd7e5","6","2",0.401496259351621,0.571428571428571
"216","a41efa95-31e9-4d20-ac63-5662316bd7e5","6","3",0.5575,0.573991031390135
"217","a41efa95-31e9-4d20-ac63-5662316bd7e5","6","4",0.450248756218905,0.453038674033149
"218","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","1",0.825436408977556,0.531722054380665
"219","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","2",0.71072319201995,0.424561403508772
"220","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","3",0.6925,0.122743682310469
"221","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","4",0.72636815920398,0.917808219178082
"222","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","5",0.471321695760599,0.132275132275132
"223","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","6",0.394014962593516,0.632911392405063
"224","a6141b72-7df0-44a4-9f7f-c1da97daae50","12","1",0.728179551122195,0.568493150684932
"225","a6141b72-7df0-44a4-9f7f-c1da97daae50","12","2",0.822942643391521,0.427272727272727
"226","a6141b72-7df0-44a4-9f7f-c1da97daae50","12","3",0.7825,0.690095846645367
"227","a6141b72-7df0-44a4-9f7f-c1da97daae50","12","4",0.609452736318408,0.416326530612245
"228","a6141b72-7df0-44a4-9f7f-c1da97daae50","12","5",0.837905236907731,0.49702380952381
"229","a6141b72-7df0-44a4-9f7f-c1da97daae50","12","6",0.57356608478803,0.5
"230","a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","1",0.775561097256858,0.366559485530547
"231","a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","2",0.743142144638404,0.5
"232","a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","3",0.845,0.390532544378698
"233","a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","4",0.728855721393035,0.563139931740614
"234","a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","5",0.625935162094763,0.454183266932271
"235","a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","6",0.451371571072319,0.613259668508287
"236","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","1",0.660847880299252,0.4
"237","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","2",0.473815461346633,0.505263157894737
"238","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","3",0.5625,0.133333333333333
"239","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","4",0.383084577114428,0.545454545454545
"240","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","5",0.518703241895262,0.629807692307692
"241","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","6",0.413965087281795,0.259036144578313
"242","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","1",0.835411471321696,0.13134328358209
"243","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","2",0.743142144638404,0.697986577181208
"244","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","3",0.6525,0.18007662835249
"245","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","4",0.574626865671642,0.943722943722944
"246","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","5",0.790523690773067,0.293375394321767
"247","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","6",0.970074812967581,0.0359897172236504
"248","ae4de261-f5e7-4282-817b-71d298e6ccec","12","1",0.817955112219451,0.649390243902439
"249","ae4de261-f5e7-4282-817b-71d298e6ccec","12","2",0.892768079800499,0.664804469273743
"250","ae4de261-f5e7-4282-817b-71d298e6ccec","12","3",0.79,0.465189873417722
"251","ae4de261-f5e7-4282-817b-71d298e6ccec","12","4",0.674129353233831,0.678966789667897
"252","ae4de261-f5e7-4282-817b-71d298e6ccec","12","5",0.882793017456359,0.361581920903955
"253","ae4de261-f5e7-4282-817b-71d298e6ccec","12","6",0.70074812967581,0.416370106761566
"254","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","1",0.915211970074813,0.272479564032698
"255","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","2",0.86783042394015,0.362068965517241
"256","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","3",0.86,0.51453488372093
"257","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","4",0.935323383084577,0.61968085106383
